Bandit,Reward,Algorithm
3.0,4.050151082942063,EpsilonGreedy
3.0,3.8228398203853797,EpsilonGreedy
3.0,4.770732772632713,EpsilonGreedy
3.0,4.235019999889236,EpsilonGreedy
3.0,3.43502748121992,EpsilonGreedy
3.0,2.5063324872507646,EpsilonGreedy
3.0,4.336621208310402,EpsilonGreedy
3.0,4.205381684204965,EpsilonGreedy
3.0,2.022678729153704,EpsilonGreedy
3.0,3.7094477915163293,EpsilonGreedy
3.0,4.462134425523494,EpsilonGreedy
3.0,3.060493868821368,EpsilonGreedy
3.0,4.632898340687958,EpsilonGreedy
3.0,3.745928261555001,EpsilonGreedy
3.0,4.899239118619299,EpsilonGreedy
3.0,3.7963031928003375,EpsilonGreedy
3.0,2.796601235504341,EpsilonGreedy
3.0,2.669658266010934,EpsilonGreedy
3.0,2.7505491421392136,EpsilonGreedy
3.0,2.7878718855562497,EpsilonGreedy
3.0,5.24940641160922,EpsilonGreedy
3.0,4.476686682782094,EpsilonGreedy
3.0,3.6435207054197827,EpsilonGreedy
3.0,2.8805513293063,EpsilonGreedy
3.0,4.91717595974547,EpsilonGreedy
3.0,3.087722506560956,EpsilonGreedy
3.0,3.17196764782772,EpsilonGreedy
3.0,4.571285185972449,EpsilonGreedy
3.0,4.0435962714829135,EpsilonGreedy
3.0,4.582743572865685,EpsilonGreedy
3.0,3.2605042496732315,EpsilonGreedy
3.0,3.382878927673687,EpsilonGreedy
3.0,4.595476055328115,EpsilonGreedy
3.0,3.3682495037368567,EpsilonGreedy
3.0,4.756606056305091,EpsilonGreedy
3.0,4.39533842570825,EpsilonGreedy
3.0,2.901092070942468,EpsilonGreedy
3.0,4.007286260455989,EpsilonGreedy
3.0,3.441124138374743,EpsilonGreedy
3.0,3.633918785785308,EpsilonGreedy
3.0,5.240924666937234,EpsilonGreedy
3.0,3.946308825506163,EpsilonGreedy
3.0,3.3637371163377527,EpsilonGreedy
3.0,2.307999335512248,EpsilonGreedy
3.0,5.1650497782724,EpsilonGreedy
3.0,3.77444597075292,EpsilonGreedy
3.0,2.453307250285458,EpsilonGreedy
3.0,2.356631090287166,EpsilonGreedy
3.0,3.8185782388310847,EpsilonGreedy
3.0,5.736045991048609,EpsilonGreedy
3.0,3.369496003165504,EpsilonGreedy
3.0,3.8228182146757907,EpsilonGreedy
3.0,3.467596765818574,EpsilonGreedy
3.0,4.8196754840049625,EpsilonGreedy
3.0,3.453472759112104,EpsilonGreedy
3.0,5.611806616542674,EpsilonGreedy
3.0,5.5583786962654225,EpsilonGreedy
3.0,3.4291461186400967,EpsilonGreedy
3.0,3.7115713980119462,EpsilonGreedy
3.0,3.366490137944406,EpsilonGreedy
3.0,3.6925667279500773,EpsilonGreedy
3.0,3.540871551324478,EpsilonGreedy
3.0,6.384315939080659,EpsilonGreedy
3.0,4.036909991007512,EpsilonGreedy
3.0,4.974395570996411,EpsilonGreedy
3.0,5.739186799612602,EpsilonGreedy
3.0,2.76757460064849,EpsilonGreedy
3.0,5.847920086608562,EpsilonGreedy
3.0,5.351200015750477,EpsilonGreedy
3.0,5.008240094943023,EpsilonGreedy
3.0,4.340211649198434,EpsilonGreedy
3.0,4.713753945977102,EpsilonGreedy
3.0,5.270206857347169,EpsilonGreedy
3.0,3.9216767182723853,EpsilonGreedy
3.0,4.368567697762963,EpsilonGreedy
3.0,2.8195590901885454,EpsilonGreedy
3.0,2.295269776771815,EpsilonGreedy
3.0,4.855248813794272,EpsilonGreedy
3.0,3.895886706463354,EpsilonGreedy
3.0,3.651131348659641,EpsilonGreedy
3.0,3.0070113869806905,EpsilonGreedy
3.0,6.400884881431377,EpsilonGreedy
3.0,5.226793767444481,EpsilonGreedy
3.0,3.986836010616362,EpsilonGreedy
3.0,2.2817378057226616,EpsilonGreedy
3.0,3.066005243207649,EpsilonGreedy
3.0,3.40933276156426,EpsilonGreedy
3.0,3.6802033365983275,EpsilonGreedy
3.0,4.237680002729503,EpsilonGreedy
3.0,3.826329308085193,EpsilonGreedy
3.0,3.3774101853910126,EpsilonGreedy
3.0,5.047044618947,EpsilonGreedy
3.0,2.6769648643890527,EpsilonGreedy
3.0,4.299623212349332,EpsilonGreedy
3.0,2.505531324679253,EpsilonGreedy
3.0,2.5664251359075907,EpsilonGreedy
3.0,3.540782793252653,EpsilonGreedy
3.0,4.795756545231818,EpsilonGreedy
3.0,2.8832607418152145,EpsilonGreedy
3.0,3.863742925386142,EpsilonGreedy
3.0,5.965465148439991,EpsilonGreedy
3.0,3.472521011420801,EpsilonGreedy
3.0,3.972245723756118,EpsilonGreedy
3.0,3.5459365043066438,EpsilonGreedy
3.0,4.236080127287936,EpsilonGreedy
3.0,2.148208934373703,EpsilonGreedy
3.0,5.067800202624303,EpsilonGreedy
3.0,3.4970508802102858,EpsilonGreedy
3.0,4.755318314207261,EpsilonGreedy
3.0,2.9926000198030698,EpsilonGreedy
3.0,4.873566629447449,EpsilonGreedy
3.0,4.529640524553408,EpsilonGreedy
3.0,4.866466414069185,EpsilonGreedy
3.0,2.8619630928106354,EpsilonGreedy
3.0,3.963838907997435,EpsilonGreedy
3.0,5.3959916342601,EpsilonGreedy
3.0,3.566445487585531,EpsilonGreedy
3.0,4.83826474721627,EpsilonGreedy
3.0,2.9931004645952286,EpsilonGreedy
3.0,3.318964814134665,EpsilonGreedy
3.0,3.588463077167087,EpsilonGreedy
3.0,3.6440428743211286,EpsilonGreedy
3.0,6.093658413018137,EpsilonGreedy
3.0,3.5796650782483566,EpsilonGreedy
3.0,4.261279936014972,EpsilonGreedy
3.0,4.299432171817042,EpsilonGreedy
3.0,3.4040590505227315,EpsilonGreedy
3.0,1.833825883810439,EpsilonGreedy
3.0,3.7984471195092127,EpsilonGreedy
3.0,4.685935100975124,EpsilonGreedy
3.0,3.5824247736086305,EpsilonGreedy
3.0,2.555494726853773,EpsilonGreedy
3.0,2.813914801323217,EpsilonGreedy
3.0,2.686508120795803,EpsilonGreedy
3.0,4.25235587191023,EpsilonGreedy
3.0,2.191676160102843,EpsilonGreedy
3.0,4.049882072886478,EpsilonGreedy
3.0,4.3608236974486205,EpsilonGreedy
3.0,5.193332509837775,EpsilonGreedy
3.0,3.0898000685292164,EpsilonGreedy
3.0,3.8985663231149283,EpsilonGreedy
3.0,4.835784323776178,EpsilonGreedy
3.0,4.632757069593331,EpsilonGreedy
3.0,4.386313033372951,EpsilonGreedy
3.0,2.814166426050278,EpsilonGreedy
3.0,1.9411265822165822,EpsilonGreedy
3.0,3.836350944751966,EpsilonGreedy
3.0,6.028153789285533,EpsilonGreedy
3.0,3.81377106885659,EpsilonGreedy
3.0,3.0247469921255825,EpsilonGreedy
3.0,4.8656780341416965,EpsilonGreedy
3.0,4.112286621908148,EpsilonGreedy
3.0,4.187723940822428,EpsilonGreedy
3.0,3.455730454248434,EpsilonGreedy
3.0,2.985148128377764,EpsilonGreedy
3.0,3.3416715630666425,EpsilonGreedy
3.0,4.805759229769465,EpsilonGreedy
3.0,3.8769815556454206,EpsilonGreedy
3.0,5.048167594157444,EpsilonGreedy
3.0,3.8289891140978103,EpsilonGreedy
3.0,2.995214974155078,EpsilonGreedy
3.0,3.4513541011070434,EpsilonGreedy
3.0,4.152004608999737,EpsilonGreedy
3.0,4.905800121465263,EpsilonGreedy
3.0,3.417530779323918,EpsilonGreedy
3.0,3.207195256742473,EpsilonGreedy
3.0,3.4620181975975544,EpsilonGreedy
3.0,6.460146271363973,EpsilonGreedy
3.0,1.743950995582666,EpsilonGreedy
3.0,5.882634080067669,EpsilonGreedy
3.0,4.857510620639119,EpsilonGreedy
3.0,3.4076658729420988,EpsilonGreedy
3.0,3.036466492054128,EpsilonGreedy
3.0,4.860034576470118,EpsilonGreedy
3.0,3.2551162783784267,EpsilonGreedy
3.0,4.796739900735098,EpsilonGreedy
3.0,5.2403393866502,EpsilonGreedy
3.0,4.228373478253153,EpsilonGreedy
3.0,3.044773948279264,EpsilonGreedy
3.0,4.690729803228324,EpsilonGreedy
3.0,2.8757663148477697,EpsilonGreedy
3.0,3.844718887516372,EpsilonGreedy
3.0,5.275219306457492,EpsilonGreedy
3.0,2.2510993564740147,EpsilonGreedy
3.0,2.69113024793535,EpsilonGreedy
3.0,2.3913657460017106,EpsilonGreedy
3.0,4.41483402568726,EpsilonGreedy
3.0,3.345237494529423,EpsilonGreedy
3.0,3.0832301347144275,EpsilonGreedy
3.0,3.1001696435222352,EpsilonGreedy
3.0,4.158484128715797,EpsilonGreedy
3.0,2.8612399707324316,EpsilonGreedy
3.0,4.5161103309736745,EpsilonGreedy
3.0,4.8353450523726345,EpsilonGreedy
3.0,4.013454518225721,EpsilonGreedy
3.0,2.5876231677850097,EpsilonGreedy
3.0,4.862593434793027,EpsilonGreedy
3.0,5.046861840479653,EpsilonGreedy
3.0,2.8984159797263125,EpsilonGreedy
3.0,4.155640957620712,EpsilonGreedy
3.0,2.1726800558942476,EpsilonGreedy
3.0,5.362717957091428,EpsilonGreedy
3.0,3.253674984896371,EpsilonGreedy
3.0,3.5901594129135113,EpsilonGreedy
3.0,2.214498250182333,EpsilonGreedy
3.0,1.4220548413746044,EpsilonGreedy
3.0,4.621426564758638,EpsilonGreedy
3.0,5.510986603050521,EpsilonGreedy
3.0,4.048490542490193,EpsilonGreedy
3.0,4.716099400174435,EpsilonGreedy
3.0,4.474942131069455,EpsilonGreedy
3.0,5.371488383387992,EpsilonGreedy
3.0,1.8195820558681821,EpsilonGreedy
3.0,2.730109660396791,EpsilonGreedy
3.0,3.794491535242771,EpsilonGreedy
3.0,4.514692237516729,EpsilonGreedy
3.0,3.811164958055721,EpsilonGreedy
3.0,6.322423444789916,EpsilonGreedy
3.0,2.96582926244372,EpsilonGreedy
3.0,2.5049934066489863,EpsilonGreedy
3.0,3.524961507928347,EpsilonGreedy
3.0,4.802394917872653,EpsilonGreedy
3.0,4.150353564894033,EpsilonGreedy
3.0,4.105520307240862,EpsilonGreedy
3.0,3.412282221016934,EpsilonGreedy
3.0,4.465060570746813,EpsilonGreedy
3.0,4.6239882883523435,EpsilonGreedy
3.0,4.642290238294636,EpsilonGreedy
3.0,4.023656957796577,EpsilonGreedy
3.0,3.7480441714510992,EpsilonGreedy
3.0,3.0192347048060917,EpsilonGreedy
3.0,4.215194049673378,EpsilonGreedy
3.0,3.6005367480180133,EpsilonGreedy
3.0,4.58773856303132,EpsilonGreedy
3.0,3.6684319450218172,EpsilonGreedy
3.0,1.382723181851372,EpsilonGreedy
3.0,3.6632210833143835,EpsilonGreedy
3.0,3.4478835821996565,EpsilonGreedy
3.0,3.962360154316935,EpsilonGreedy
3.0,4.658066043147305,EpsilonGreedy
3.0,3.722745397156194,EpsilonGreedy
3.0,3.716037134586257,EpsilonGreedy
3.0,4.477941593949996,EpsilonGreedy
3.0,2.5837007757443784,EpsilonGreedy
3.0,3.5630323643990547,EpsilonGreedy
3.0,2.247671806542125,EpsilonGreedy
3.0,4.391273947921735,EpsilonGreedy
